,Company,Year,DIVIDEND YIELD,Price,HISTORICAL VOLATILITY 5 YEARS,RETURN ON EQUITY - TOTAL (%),Environment Pillar Score,RESEARCH & DEVELOPMENT/SALES,Governance Pillar Score,Social Pillar Score,CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions
1590,GBL NEW,2016,2.77,75.24,0.1672,-3.26,2.2,,17.98,2.17,
1591,GBL NEW,2017,2.3,89.11,0.1427,4.5,1.55,,20.27,5.2,
1592,GBL NEW,2018,2.59,80.96,0.1465,4.06,5.35,,40.51,31.94,
1593,GBL NEW,2019,2.32,92.68,0.1415,3.95,5.28,,75.9,41.41,
1594,GBL NEW,2020,2.73,80.86,0.2576,,,,,,
1595,GRIFOLS ORD CL A,2010,2.91,4.3529,0.3539,18.34,59.47,3.69,58.08,31.97,0.43
1596,GRIFOLS ORD CL A,2011,0.0,5.3797,0.3305,4.27,54.85,,32.57,31.8,12.48
1597,GRIFOLS ORD CL A,2012,0.0,11.953,0.3205,14.5,65.94,4.38,40.93,35.37,9.51
1598,GRIFOLS ORD CL A,2013,0.61,16.2775,0.3056,17.37,64.85,4.06,33.78,40.52,9.36
1599,GRIFOLS ORD CL A,2014,1.31,17.2775,0.3048,19.76,72.84,5.0,64.92,42.84,13.03
1600,GRIFOLS ORD CL A,2015,0.81,21.6925,0.265,17.87,59.9,5.35,49.37,47.39,15.16
1601,GRIFOLS ORD CL A,2016,1.38,18.395,0.2527,15.55,62.6,4.56,43.85,56.2,16.59
1602,GRIFOLS ORD CL A,2017,1.01,25.27,0.2384,18.03,73.32,6.34,47.22,57.38,15.28
1603,GRIFOLS ORD CL A,2018,1.55,26.0,0.2443,15.19,76.18,4.92,51.54,69.98,15.04
1604,GRIFOLS ORD CL A,2019,1.18,29.27,0.2109,13.82,76.71,4.97,54.25,85.92,15.14
1605,GRIFOLS ORD CL A,2020,1.39,26.0,0.2548,,,,,,
1606,ILIAD,2010,0.47,79.01,0.3213,34.01,6.69,0.13,28.28,11.56,
1607,ILIAD,2011,0.46,86.99,0.2894,19.35,6.0,0.09,33.08,11.33,
1608,ILIAD,2012,0.29,126.5,0.2745,11.65,42.26,0.04,28.78,47.18,
1609,ILIAD,2013,0.22,165.9,0.1976,14.43,47.12,0.02,47.2,44.67,
1610,ILIAD,2014,0.2,184.35,0.2383,13.11,58.96,0.0,53.37,43.11,
1611,ILIAD,2015,0.19,201.75,0.2378,13.54,57.5,0.01,42.44,49.37,
1612,ILIAD,2016,0.24,169.4,0.2562,14.24,51.9,0.0,46.15,51.99,
1613,ILIAD,2017,0.21,209.0,0.2599,12.51,48.41,0.01,20.6,55.57,
1614,ILIAD,2018,0.63,107.65,0.2897,9.29,46.83,0.02,36.56,53.54,
1615,ILIAD,2019,0.8,113.2,0.3173,39.01,48.01,0.02,22.39,56.83,
1616,ILIAD,2020,1.5,173.6,0.3674,,,,,,
1617,KION GROUP,2010,,,,,,2.92,,,
1618,KION GROUP,2011,,,,,,2.74,,,
1619,KION GROUP,2012,,,,199.37,,2.63,,,
1620,KION GROUP,2013,0.0,28.0,0.335,12.29,,2.53,,,
1621,KION GROUP,2014,1.24,28.288,0.2749,10.88,20.31,2.69,41.89,40.51,
1622,KION GROUP,2015,1.23,44.756,0.2648,12.47,11.4,2.81,37.59,55.52,
1623,KION GROUP,2016,1.44,53.573,0.258,11.23,39.72,1.73,52.57,56.72,5.75
1624,KION GROUP,2017,1.21,66.22,0.2484,15.08,43.26,1.79,57.87,68.88,3.68
1625,KION GROUP,2018,1.9,52.08,0.2438,12.41,45.4,1.72,78.14,67.35,3.66
1626,KION GROUP,2019,1.98,60.5,0.3159,13.24,46.03,1.76,80.64,68.19,3.35
1627,KION GROUP,2020,0.05,73.9,0.4009,,,,,,
1628,MONCLER,2010,,,,,,,,,
1629,MONCLER,2011,,,,20.33,,,,,
1630,MONCLER,2012,,,,12.43,,,,,
1631,MONCLER,2013,,,,27.87,,,,,
1632,MONCLER,2014,0.0,11.35,0.2469,35.86,,,,,
1633,MONCLER,2015,0.8,14.91,0.295,34.77,,,,,
1634,MONCLER,2016,0.94,14.88,0.2763,31.38,58.38,,35.35,58.25,
1635,MONCLER,2017,0.78,22.94,0.2638,30.7,62.56,,36.6,67.98,
1636,MONCLER,2018,0.91,30.74,0.2776,33.37,83.15,,38.93,81.55,
1637,MONCLER,2019,1.09,36.56,0.2755,30.2,82.52,,72.36,80.4,
1638,MONCLER,2020,0.0,41.08,0.316,,,,,,
1639,NATIXIS,2010,0.0,2.9136,0.6911,8.72,96.7,,55.06,42.07,0.43
1640,NATIXIS,2011,0.0,1.5236,0.6794,7.77,88.13,,42.93,39.59,
1641,NATIXIS,2012,4.35,1.7262,0.6916,4.71,86.89,,53.66,34.64,0.76
1642,NATIXIS,2013,2.04,3.6721,0.5568,4.77,86.08,,39.53,35.7,0.59
1643,NATIXIS,2014,3.09,4.6668,0.3543,6.24,92.08,,35.61,57.93,0.66
1644,NATIXIS,2015,3.57,5.0546,0.353,7.19,93.76,,43.75,55.99,0.65
1645,NATIXIS,2016,5.43,4.1501,0.3455,7.17,92.58,,43.13,53.59,0.97
1646,NATIXIS,2017,5.35,5.8996,0.2866,8.8,92.45,,53.33,74.86,3.25
1647,NATIXIS,2018,7.52,4.4378,0.2665,8.37,91.19,,43.08,75.01,2.47
1648,NATIXIS,2019,7.54,3.9789999999999996,0.2737,9.94,88.86,,37.04,74.43,1.13
1649,NATIXIS,2020,0.0,2.545,0.5265,,,,,,
1650,NEXI,2010,,,,,,,,,
1651,NEXI,2011,,,,,,,,,
1652,NEXI,2012,,,,,,,,,
1653,NEXI,2013,,,,,,,,,
1654,NEXI,2014,,,,,,,,,
1655,NEXI,2015,,,,,,,,,
1656,NEXI,2016,,,,,,,,,
1657,NEXI,2017,,,,2.56,,,,,
1658,NEXI,2018,,,,3.86,38.57,,16.29,58.49,
1659,NEXI,2019,0.0,9.28,0.1385,15.17,69.99,,20.76,56.13,0.38
1660,NEXI,2020,0.0,14.81,0.4959,,,,,,
1661,REMY COINTREAU,2010,2.5,51.1552,0.3634,8.68,,,,,
1662,REMY COINTREAU,2011,2.2,58.151,0.3529,6.78,73.9,,12.03,18.12,
1663,REMY COINTREAU,2012,2.8,80.8309,0.34299999999999997,10.87,65.75,,17.96,15.82,
1664,REMY COINTREAU,2013,1.94,71.0702,0.2995,12.61,68.5,,9.07,18.89,
1665,REMY COINTREAU,2014,2.21,56.5768,0.2264,5.93,59.72,,10.32,31.49,
1666,REMY COINTREAU,2015,2.35,63.9563,0.2361,8.88,71.68,,15.43,29.63,
1667,REMY COINTREAU,2016,2.25,70.0076,0.2411,9.37,86.32,,35.43,23.51,
1668,REMY COINTREAU,2017,1.49,108.6274,0.2435,15.76,86.57,,27.79,24.7,115.84
1669,REMY COINTREAU,2018,1.54,105.1,0.2442,10.93,87.86,,30.32,34.38,90.97
1670,REMY COINTREAU,2019,2.14,123.9,0.2139,11.24,97.36,,37.64,51.37,129.47
1671,REMY COINTREAU,2020,0.64,156.9,0.2383,8.01,94.46,,24.32,53.72,152.31
1672,SARTORIUS,2010,1.54,6.487,0.3922,11.29,,6.47,,,
1673,SARTORIUS,2011,1.87,8.0,0.3732,14.23,,6.04,,,
1674,SARTORIUS,2012,1.21,16.475,0.3786,15.14,,5.69,,,
1675,SARTORIUS,2013,1.11,21.2,0.2813,14.94,,6.06,,,
1676,SARTORIUS,2014,1.01,24.725,0.2557,12.68,,5.66,,,
1677,SARTORIUS,2015,0.48,55.775,0.2443,27.59,56.57,4.71,32.01,78.71,
1678,SARTORIUS,2016,0.55,67.986,0.2662,18.76,52.88,4.57,43.43,89.11,
1679,SARTORIUS,2017,0.62,73.108,0.2507,19.16,58.18,4.9,50.12,89.17,
1680,SARTORIUS,2018,0.49,103.0,0.2628,20.81,60.64,4.99,51.01,94.64,
1681,SARTORIUS,2019,0.38,159.0,0.2928,20.21,56.31,5.23,62.92,94.26,
1682,SARTORIUS,2020,0.1,356.0,0.3603,,,,,,
1683,SMURFIT KAPPA GROUP,2010,0.0,7.563,0.7337,2.91,,0.04,,,
1684,SMURFIT KAPPA GROUP,2011,0.0,4.5,0.6754,10.96,,0.04,,,
1685,SMURFIT KAPPA GROUP,2012,1.88,7.966,0.6879,11.71,87.34,0.05,67.69,79.44,47.53
1686,SMURFIT KAPPA GROUP,2013,1.74,17.63,0.5301,8.24,86.39,0.1,78.33,80.54,42.06
1687,SMURFIT KAPPA GROUP,2014,2.76,16.73,0.3662,10.64,85.0,0.1,58.83,88.6,
1688,SMURFIT KAPPA GROUP,2015,2.36,25.4,0.3812,18.19,86.91,0.12,72.18,86.22,64.19
1689,SMURFIT KAPPA GROUP,2016,3.38,20.68,0.3393,19.71,82.17,0.09,80.11,79.05,67.18
1690,SMURFIT KAPPA GROUP,2017,3.22,25.04,0.2651,17.24,80.61,0.08,79.82,70.81,
1691,SMURFIT KAPPA GROUP,2018,3.46,25.96,0.2665,-24.53,80.05,0.08,84.31,67.13,42.3
1692,SMURFIT KAPPA GROUP,2019,3.13,31.96,0.2561,16.67,81.15,0.09,89.32,81.82,45.16
1693,SMURFIT KAPPA GROUP,2020,2.96,36.72,0.316,,,,,,
1694,SODEXO,2010,2.89,46.78,0.2932,16.41,74.77,,74.58,94.1,
1695,SODEXO,2011,2.89,50.45,0.2895,17.21,89.05,,62.41,93.43,
1696,SODEXO,2012,2.63,60.38,0.2605,18.85,85.69,,67.85,94.03,392.47
1697,SODEXO,2013,2.2,73.72,0.1528,14.67,68.65,,73.08,93.3,
1698,SODEXO,2014,2.28,78.86,0.1524,15.96,74.34,,41.79,92.86,
1699,SODEXO,2015,2.31,77.8,0.1612,20.29,86.44,,34.33,93.23,
1700,SODEXO,2016,2.23,98.81,0.1705,17.27,92.61,,51.79,95.57,
1701,SODEXO,2017,2.31,103.9,0.1893,20.07,89.29,,56.51,95.16,
1702,SODEXO,2018,3.01,91.5,0.2173,19.09,84.11,,57.11,93.87,
1703,SODEXO,2019,2.73,106.1,0.2098,17.19,77.74,,67.4,88.9,212.27
1704,SODEXO,2020,0.0,71.54,0.3407,-8.73,,,,,
1705,SOLVAY,2010,2.91,71.1177,0.3302,31.81,55.15,2.0,68.82,50.95,
1706,SOLVAY,2011,3.47,62.3772,0.3619,3.97,41.01,1.92,47.28,64.71,
1707,SOLVAY,2012,2.53,85.3281,0.3768,9.48,86.13,2.03,56.65,64.95,83.59
1708,SOLVAY,2013,2.15,109.3034,0.3579,4.5,86.86,2.29,81.54,63.56,76.78
1709,SOLVAY,2014,2.13,106.1079,0.2794,1.42,86.35,2.32,71.6,76.31,351.53
1710,SOLVAY,2015,2.56,94.5009,0.29,6.44,67.75,2.15,61.87,85.64,1315.05
1711,SOLVAY,2016,2.36,100.7,0.2616,8.42,57.25,2.2,44.53,83.24,1022.7
1712,SOLVAY,2017,2.03,121.0,0.2329,14.18,58.83,2.16,29.15,74.55,683.04
1713,SOLVAY,2018,2.45,102.8,0.2086,9.64,90.9,2.11,44.99,73.49,586.47
1714,SOLVAY,2019,2.55,104.5,0.2333,0.04,88.74,2.14,67.24,70.8,556.2
1715,SOLVAY,2020,2.98,88.0,0.3351,,,,,,
1716,SUEZ,2010,4.72,13.775,0.2957,13.21,63.21,,47.53,75.25,
1717,SUEZ,2011,6.56,9.914,0.2951,6.16,62.96,,56.46,68.28,
1718,SUEZ,2012,8.25,7.875,0.3104,4.64,82.27,,43.19,63.97,1.11
1719,SUEZ,2013,5.11,12.71,0.3004,7.23,78.01,,52.94,62.15,
1720,SUEZ,2014,4.89,13.28,0.2781,8.44,81.56,0.52,40.11,58.28,
1721,SUEZ,2015,3.79,17.14,0.2797,8.32,83.93,0.49,44.36,62.92,
1722,SUEZ,2016,4.92,13.2,0.258,8.78,87.03,0.48,29.18,67.73,
1723,SUEZ,2017,4.24,15.325,0.2103,5.78,88.67,0.58,39.75,65.8,
1724,SUEZ,2018,4.9,13.265,0.2177,5.96,87.93,0.69,66.59,69.83,
1725,SUEZ,2019,3.43,13.135,0.2015,6.28,88.65,0.66,50.37,82.23,
1726,SUEZ,2020,2.79,16.15,0.3278,,,,,,
1727,TERNA RETE ELETTRICA NAZ,2010,5.98,3.345,0.1854,23.32,70.73,,50.73,80.54,0.7
1728,TERNA RETE ELETTRICA NAZ,2011,7.71,2.722,0.2101,15.93,74.97,,47.76,72.61,0.72
1729,TERNA RETE ELETTRICA NAZ,2012,7.38,2.846,0.2081,16.72,67.28,,43.52,70.99,0.65
1730,TERNA RETE ELETTRICA NAZ,2013,5.56,3.6,0.1909,17.93,67.0,0.94,35.33,70.61,0.65
1731,TERNA RETE ELETTRICA NAZ,2014,5.29,3.782,0.1698,18.05,64.96,0.95,51.03,79.13,0.55
1732,TERNA RETE ELETTRICA NAZ,2015,4.32,4.626,0.1667,18.57,71.44,,45.1,70.44,0.59
1733,TERNA RETE ELETTRICA NAZ,2016,5.08,3.98,0.1319,18.47,69.75,,48.12,79.25,0.65
1734,TERNA RETE ELETTRICA NAZ,2017,4.01,5.19,0.1268,18.76,79.77,,53.71,80.24,1.03
1735,TERNA RETE ELETTRICA NAZ,2018,4.53,4.959,0.1277,18.07,79.53,,74.61,79.09,0.6
1736,TERNA RETE ELETTRICA NAZ,2019,4.03,5.92,0.1253,18.45,81.86,,66.09,80.91,1.68
1737,TERNA RETE ELETTRICA NAZ,2020,3.98,6.266,0.1984,,,,,,
1738,UBISOFT ENTERTAINMENT CAT A,2010,0.0,7.4013,0.452,-5.77,16.36,1.03,7.98,9.12,
1739,UBISOFT ENTERTAINMENT CAT A,2011,0.0,4.8829,0.4584,-7.06,13.64,4.85,4.51,7.35,
1740,UBISOFT ENTERTAINMENT CAT A,2012,0.0,7.1770000000000005,0.4589,5.05,31.82,6.37,6.85,12.74,
1741,UBISOFT ENTERTAINMENT CAT A,2013,0.0,9.92,0.4349,8.1,41.82,5.76,7.99,19.76,
1742,UBISOFT ENTERTAINMENT CAT A,2014,0.0,13.5,0.4005,-7.95,47.52,5.25,46.21,32.47,
1743,UBISOFT ENTERTAINMENT CAT A,2015,0.0,27.07,0.4039,9.72,52.66,7.14,42.3,38.0,
1744,UBISOFT ENTERTAINMENT CAT A,2016,0.0,31.89,0.4068,9.35,56.63,5.95,35.77,63.31,
1745,UBISOFT ENTERTAINMENT CAT A,2017,0.0,66.35,0.3994,10.02,33.77,7.6,47.69,71.37,
1746,UBISOFT ENTERTAINMENT CAT A,2018,0.0,70.3,0.3671,13.79,38.62,11.19,49.64,71.09,
1747,UBISOFT ENTERTAINMENT CAT A,2019,0.0,50.96,0.3845,11.05,41.82,12.77,49.17,68.93,19.34
1748,UBISOFT ENTERTAINMENT CAT A,2020,0.0,80.18,0.3798,-11.24,41.5,14.56,52.48,71.35,21.75
1749,UNIPER SE,2010,,,,,,,,,
1750,UNIPER SE,2011,,,,,,,,,
1751,UNIPER SE,2012,,,,,,,,,
1752,UNIPER SE,2013,,,,,,,,,
1753,UNIPER SE,2014,,,,-10.36,,,,,
1754,UNIPER SE,2015,,,,-22.15,,0.02,,,
1755,UNIPER SE,2016,0.0,12.067,0.1094,-24.11,64.54,0.01,35.06,47.19,
1756,UNIPER SE,2017,2.32,23.75,0.2011,-5.38,68.06,0.0,73.46,56.53,
1757,UNIPER SE,2018,2.85,25.99,0.2203,-3.91,74.75,,70.02,52.95,97.82
1758,UNIPER SE,2019,3.2,28.11,0.2231,5.45,70.8,,68.19,51.58,117.94
1759,UNIPER SE,2020,4.07,28.28,0.2755,,,,,,
1760,ARGENX,2010,,,,,,,,,
1761,ARGENX,2011,,,,-23.84,,409.07,,,
1762,ARGENX,2012,,,,-56.85,,658.21,,,
1763,ARGENX,2013,,,,-35.75,,344.83,,,
1764,ARGENX,2014,0.0,7.0,0.2777,-28.74,,332.99,,,
1765,ARGENX,2015,0.0,9.05,0.4067,-35.05,,298.21,,,
1766,ARGENX,2016,0.0,13.5,0.3549,-42.47,,212.21,,,
1767,ARGENX,2017,0.0,20.46,0.3404,-13.75,0.0,140.86,21.4,62.1,
1768,ARGENX,2018,0.0,82.3,0.5271,-15.09,0.0,386.91,38.41,60.88,
1769,ARGENX,2019,0.0,125.5,0.5066,-20.51,0.0,280.91,51.39,59.91,
1770,ARGENX,2020,0.0,219.6,0.5464,,,,,,
1771,BAYER (XET),2010,2.55,54.126,0.2814,6.9,75.87,8.7,50.99,91.39,575.47
1772,BAYER (XET),2011,3.17,46.622,0.3056,12.98,78.49,8.03,50.3,91.11,710.15
1773,BAYER (XET),2012,2.53,64.282,0.3123,12.98,80.15,7.58,38.61,90.51,655.81
1774,BAYER (XET),2013,2.0,93.382,0.2515,16.28,80.35,7.94,38.47,92.04,
1775,BAYER (XET),2014,1.91,108.15299999999999,0.2329,16.78,77.99,8.46,33.92,94.47,
1776,BAYER (XET),2015,1.87,118.43700000000001,0.2501,18.53,80.33,9.24,39.7,93.71,729.75
1777,BAYER (XET),2016,2.75,89.367,0.2339,16.6,81.68,9.98,64.52,95.99,
1778,BAYER (XET),2017,2.5,106.185,0.2255,21.85,80.34,12.86,67.59,96.35,
1779,BAYER (XET),2018,4.47,62.59,0.2553,4.1,84.35,13.25,78.92,95.82,203.3
1780,BAYER (XET),2019,3.98,70.43,0.2583,8.77,85.89,12.27,77.92,96.66,231.94
1781,BAYER (XET),2020,5.86,47.785,0.3533,,,,,,
1782,BECHTLE,2010,2.12,14.167,0.3794,13.14,,,,,
1783,BECHTLE,2011,2.72,13.785,0.4014,15.87,,,,,
1784,BECHTLE,2012,3.65,13.69,0.3819,12.89,,,,,
1785,BECHTLE,2013,2.04,24.5,0.3055,13.19,,,,,
1786,BECHTLE,2014,1.8,30.5,0.3089,14.44,,,,,
1787,BECHTLE,2015,1.41,42.501999999999995,0.3103,15.81,,,,,
1788,BECHTLE,2016,1.53,45.84,0.2685,15.72,,,,,
1789,BECHTLE,2017,1.07,70.23,0.2426,15.57,28.51,,15.99,45.75,
1790,BECHTLE,2018,1.25,72.0,0.2441,16.52,31.72,,18.64,48.05,
1791,BECHTLE,2019,0.85,117.9,0.2562,17.96,38.89,,18.4,75.58,
1792,BECHTLE,2020,0.68,175.4,0.3688,,,,,,
1793,BOLLORE,2010,1.61,1.6495,0.2873,9.63,41.98,,15.15,27.12,
1794,BOLLORE,2011,1.87,1.6065,0.2847,8.49,41.38,,12.8,27.43,
1795,BOLLORE,2012,1.29,2.55,0.2852,13.85,56.94,1.29,11.65,46.39,
1796,BOLLORE,2013,0.78,3.96,0.2431,3.97,56.39,0.75,12.44,43.89,
1797,BOLLORE,2014,0.8,3.88,0.2259,2.75,59.71,1.06,14.32,43.23,
1798,BOLLORE,2015,1.41,4.27,0.2337,,60.22,1.6,6.08,44.97,
1799,BOLLORE,2016,2.1,2.852,0.2421,4.67,58.41,1.84,7.32,47.6,796.1
1800,BOLLORE,2017,1.48,4.041,0.2414,7.2,64.17,0.66,6.79,62.94,207.0
1801,BOLLORE,2018,1.57,3.81,0.2452,2.39,62.47,0.46,6.84,67.67,
1802,BOLLORE,2019,1.48,4.044,0.2282,2.59,,0.31,,,
1803,BOLLORE,2020,1.73,3.46,0.3237,,,,,,
1804,BRENNTAG,2010,0.0,21.667,0.1429,16.19,4.79,,27.29,21.94,
1805,BRENNTAG,2011,2.01,23.253,0.2014,16.59,3.77,,15.18,14.24,
1806,BRENNTAG,2012,2.13,31.355999999999998,0.1892,18.19,18.36,,45.76,24.81,
1807,BRENNTAG,2013,1.88,42.568000000000005,0.1782,17.04,15.47,,53.13,27.84,
1808,BRENNTAG,2014,2.07,41.855,0.2004,15.45,33.57,,50.56,32.29,
1809,BRENNTAG,2015,1.84,48.925,0.2105,14.68,35.6,,57.53,39.81,
1810,BRENNTAG,2016,2.06,48.641000000000005,0.2166,12.88,41.37,,71.79,66.69,
1811,BRENNTAG,2017,1.99,52.782,0.2157,12.18,42.42,,57.89,62.5,
1812,BRENNTAG,2018,2.56,42.96,0.2188,14.75,43.61,,77.41,66.79,
1813,BRENNTAG,2019,2.51,47.8,0.2289,13.74,42.45,,78.91,64.71,
1814,BRENNTAG,2020,2.02,61.98,0.3191,,,,,,
1815,BUREAU VERITAS,2010,1.52,13.86,0.3277,43.53,58.55,,11.96,46.83,7.11
1816,BUREAU VERITAS,2011,2.18,13.1925,0.2922,31.17,65.89,,22.16,42.42,5.09
1817,BUREAU VERITAS,2012,1.55,20.525,0.2683,26.93,61.14,,16.09,47.78,7.83
1818,BUREAU VERITAS,2013,2.12,21.62,0.1977,32.86,64.89,,22.19,46.39,3.19
1819,BUREAU VERITAS,2014,2.42,19.8,0.1722,28.55,62.23,,21.23,54.24,7.11
1820,BUREAU VERITAS,2015,2.51,19.15,0.1702,23.17,66.08,,28.63,60.21,5.85
1821,BUREAU VERITAS,2016,2.99,17.07,0.18100000000000002,27.86,69.07,,20.24,86.38,11.88
1822,BUREAU VERITAS,2017,2.48,22.18,0.1855,28.17,66.12,,13.32,90.03,
1823,BUREAU VERITAS,2018,2.88,19.465,0.1956,34.47,74.54,,29.92,86.7,14.17
1824,BUREAU VERITAS,2019,2.43,23.02,0.1831,33.1,76.68,,43.11,85.3,8.69
1825,BUREAU VERITAS,2020,0.0,22.1,0.2764,,,,,,
1826,CAIXABANK,2010,6.33,3.0665,0.3081,14.22,24.44,,44.68,62.87,0.02
1827,CAIXABANK,2011,8.65,2.8084,0.3133,4.55,89.21,,50.13,74.14,0.96
1828,CAIXABANK,2012,8.49,2.1546,0.3395,1.06,67.41,,43.48,77.26,1.04
1829,CAIXABANK,2013,6.15,3.1129,0.3545,2.14,68.48,,44.24,74.9,0.43
1830,CAIXABANK,2014,4.77,3.8867,0.3522,2.52,66.63,,35.45,74.68,1.49
1831,CAIXABANK,2015,5.17,3.3079,0.3471,3.23,66.49,,41.43,77.19,1.85
1832,CAIXABANK,2016,5.23,2.8277,0.3582,4.3,67.1,,64.88,77.42,2.12
1833,CAIXABANK,2017,4.25,3.997,0.3254,7.05,66.19,,75.98,92.07,1.61
1834,CAIXABANK,2018,4.02,3.727,0.2829,8.22,65.74,,59.17,91.03,1.49
1835,CAIXABANK,2019,6.47,2.6260000000000003,0.2818,6.36,85.79,,89.3,89.29,1.36
1836,CAIXABANK,2020,6.92,2.169,0.4135,,,,,,
1837,COVESTRO,2010,,,,,,,,,
1838,COVESTRO,2011,,,,,,,,,
1839,COVESTRO,2012,,,,,,,,,
1840,COVESTRO,2013,,,,,,,,,
1841,COVESTRO,2014,,,,,,1.8,,,
1842,COVESTRO,2015,0.0,31.645,0.0,12.78,58.94,2.13,61.7,47.57,
1843,COVESTRO,2016,1.23,56.906000000000006,0.3607,20.42,72.04,2.18,70.33,68.7,
1844,COVESTRO,2017,1.65,81.995,0.3119,42.19,68.42,1.94,78.07,74.63,
1845,COVESTRO,2018,3.9,56.4,0.3086,34.15,72.92,1.89,85.08,75.51,
1846,COVESTRO,2019,5.35,44.88,0.3383,10.47,69.9,2.14,89.27,74.76,
1847,COVESTRO,2020,2.6,46.11,0.3847,,,,,,
1848,DASSAULT AVIATION,2010,1.47,600.0298,0.2476,6.08,,5.56,,,
1849,DASSAULT AVIATION,2011,1.69,632.0,0.24,7.27,,9.18,,,
1850,DASSAULT AVIATION,2012,1.2,707.8999,0.2473,11.08,,9.83,,,
1851,DASSAULT AVIATION,2013,1.04,890.25,0.1966,9.32,,10.48,,,
1852,DASSAULT AVIATION,2014,0.89,1000.0,0.1776,6.15,,13.26,,,
1853,DASSAULT AVIATION,2015,0.94,1065.0,0.2022,3.59,48.38,10.33,15.84,46.22,
1854,DASSAULT AVIATION,2016,1.14,1058.85,0.2048,10.7,49.61,8.01,11.31,45.23,
1855,DASSAULT AVIATION,2017,0.93,1298.0,0.1929,19.63,61.57,6.47,12.99,43.1,
1856,DASSAULT AVIATION,2018,1.12,1372.0,0.2001,14.32,60.0,7.65,20.49,68.35,
1857,DASSAULT AVIATION,2019,1.68,1261.0,0.1939,16.34,69.53,7.15,15.49,71.88,
1858,DASSAULT AVIATION,2020,0.0,921.0,0.3309,,,,,,
1859,DIASORIN,2010,0.63,31.1269,0.2561,33.88,,4.58,,,
1860,DIASORIN,2011,1.75,22.291999999999998,0.2708,29.86,,4.5,,,
1861,DIASORIN,2012,1.76,25.4223,0.2655,24.33,,4.97,,,
1862,DIASORIN,2013,1.47,33.1455,0.2684,21.33,,5.06,,,
1863,DIASORIN,2014,1.76,30.4248,0.2502,18.74,,5.1,,,
1864,DIASORIN,2015,1.28,45.6373,0.2511,18.77,,4.81,,,
1865,DIASORIN,2016,1.25,50.6593,0.2297,17.99,,5.7,,,
1866,DIASORIN,2017,1.06,73.5267,0.2045,19.92,32.72,5.91,61.3,58.34,
1867,DIASORIN,2018,1.05,79.1826,0.2234,21.87,36.15,5.92,67.99,58.97,
1868,DIASORIN,2019,0.81,110.7,0.2259,22.63,34.6,5.91,62.33,58.38,
1869,DIASORIN,2020,0.55,173.3,0.2861,,,,,,
1870,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2010,0.0,31.88,0.2004,,,,,,
1871,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2011,0.0,42.13,0.1906,,,,,,
1872,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2012,0.0,43.31,0.1818,,,,,,
1873,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2013,0.0,30.67,0.1824,,,,,,
1874,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2014,0.0,30.23,0.1666,,,,,,
1875,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2015,0.0,32.53,0.1608,,,,,,
1876,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2016,0.0,36.88,0.1501,,,,,,
1877,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2017,0.0,34.91,0.15,,,,,,
1878,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2018,0.0,34.4,0.1242,,,,,,
1879,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2019,0.0,42.676,0.1258,,,,,,
1880,DT.BOERSE COMD. (FRA) XETRA-GOLD ETC,2020,0.0,51.37,0.1412,,,,,,
1881,ELISA,2010,3.18,15.73,0.2608,17.32,34.54,0.67,41.84,26.32,
1882,ELISA,2011,8.5,15.3,0.2577,24.18,51.41,0.32,34.24,44.44,4.0
1883,ELISA,2012,8.15,15.96,0.2582,24.77,46.8,0.15,34.52,46.91,212.45
1884,ELISA,2013,6.91,18.8,0.2208,23.1,49.26,0.14,32.21,44.69,3.72
1885,ELISA,2014,5.78,22.48,0.2229,25.88,43.82,0.13,48.64,48.5,86.48
1886,ELISA,2015,3.76,35.09,0.207,26.96,63.81,0.1,46.66,48.97,76.66
1887,ELISA,2016,4.87,28.77,0.2038,27.12,58.24,0.1,47.47,46.51,70.43
1888,ELISA,2017,4.35,34.51,0.193,33.49,60.99,0.1,54.88,48.24,59.14
1889,ELISA,2018,4.37,37.73,0.1793,29.16,60.6,0.05,57.86,46.49,58.19
1890,ELISA,2019,3.59,48.7,0.1612,26.63,66.28,0.09,58.46,55.81,71.35
1891,ELISA,2020,4.05,45.7,0.2343,,,,,,
1892,EUROBANK HOLDINGS,2010,0.0,4165.97,0.4986,-1.87,42.36,,57.78,43.71,
1893,EUROBANK HOLDINGS,2011,0.0,591.17,0.6151,-377.16,48.15,,58.0,41.39,
1894,EUROBANK HOLDINGS,2012,0.0,674.49,0.9635,,48.94,,54.47,39.54,
1895,EUROBANK HOLDINGS,2013,0.0,57.53,1.2757,-225.7,48.21,,66.3,38.17,
1896,EUROBANK HOLDINGS,2014,0.0,23.81,1.2406,-30.56,68.2,,53.79,38.44,0.09
